19:08:28 : INFO : adding document #650000 to Dictionary(3397105 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:08:52 : INFO : adding document #660000 to Dictionary(3419878 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:09:15 : INFO : adding document #670000 to Dictionary(3453599 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:09:38 : INFO : adding document #680000 to Dictionary(3477002 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:10:01 : INFO : adding document #690000 to Dictionary(3498943 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:10:25 : INFO : adding document #700000 to Dictionary(3521484 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:10:49 : INFO : adding document #710000 to Dictionary(3561457 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:11:12 : INFO : adding document #720000 to Dictionary(3584709 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:11:36 : INFO : adding document #730000 to Dictionary(3603413 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:12:02 : INFO : adding document #740000 to Dictionary(3625885 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:12:27 : INFO : adding document #750000 to Dictionary(3650067 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:12:52 : INFO : adding document #760000 to Dictionary(3672908 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:13:16 : INFO : adding document #770000 to Dictionary(3693020 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:13:41 : INFO : adding document #780000 to Dictionary(3717352 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
